epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,830.841,0.64608,0.45532,1.05597,0.92586,0.8653,0.90851,0.70361,0.76489,0.56391,1.21073,0.000660299,0.000660299,0.000660299
63,843.995,0.65677,0.45865,1.06237,0.87626,0.86399,0.91571,0.71576,0.71463,0.56817,1.19163,0.000643795,0.000643795,0.000643795
64,855.792,0.65527,0.46139,1.06424,0.98031,0.83958,0.946,0.7361,0.69035,0.51456,1.17856,0.000627292,0.000627292,0.000627292
65,867.764,0.60905,0.44841,1.03869,0.93712,0.8839,0.92736,0.74282,0.68944,0.51355,1.15306,0.000610789,0.000610789,0.000610789
66,879.298,0.63986,0.45406,1.05435,0.95368,0.81779,0.94016,0.7232,0.73755,0.52878,1.1735,0.000594286,0.000594286,0.000594286
67,891.158,0.61163,0.43298,1.02147,0.9104,0.92589,0.94959,0.75945,0.65292,0.48462,1.12348,0.000577782,0.000577782,0.000577782
68,905.432,0.614,0.4373,1.02965,0.91549,0.88405,0.94555,0.73815,0.70723,0.51504,1.17308,0.000561279,0.000561279,0.000561279
69,919.238,0.62177,0.44965,1.03301,0.9179,0.87184,0.92274,0.73708,0.67934,0.56842,1.1618,0.000544776,0.000544776,0.000544776
70,932.614,0.61037,0.43562,1.048,0.92811,0.88588,0.94481,0.74336,0.71546,0.49373,1.17916,0.000528272,0.000528272,0.000528272
71,945.562,0.60553,0.43058,1.04341,0.93279,0.87729,0.95292,0.74829,0.72023,0.47092,1.15717,0.000511769,0.000511769,0.000511769
72,959.193,0.60567,0.42688,1.02613,0.96191,0.84634,0.95064,0.75727,0.67787,0.47206,1.12143,0.000495266,0.000495266,0.000495266
73,973.027,0.5769,0.40279,1.01266,0.88264,0.89625,0.92673,0.73829,0.6955,0.56266,1.13128,0.000478762,0.000478762,0.000478762
74,986.99,0.59039,0.41155,1.01778,0.94107,0.83333,0.93088,0.73523,0.73324,0.53626,1.15407,0.000462259,0.000462259,0.000462259
75,999.592,0.57765,0.40061,1.01541,0.9646,0.84218,0.92388,0.73351,0.71635,0.51829,1.13734,0.000445756,0.000445756,0.000445756
76,1012.77,0.58593,0.41062,1.02088,0.89683,0.87598,0.93425,0.74528,0.65303,0.50757,1.10265,0.000429253,0.000429253,0.000429253
77,1026.21,0.58914,0.41764,1.02725,0.91661,0.87043,0.93156,0.73767,0.69326,0.5277,1.1384,0.000412749,0.000412749,0.000412749
78,1039.47,0.57875,0.42274,1.02116,0.92304,0.84358,0.93421,0.75234,0.65487,0.49516,1.11239,0.000396246,0.000396246,0.000396246
79,1052.61,0.56563,0.40147,1.01159,0.86047,0.90676,0.93667,0.75105,0.6664,0.46411,1.1334,0.000379743,0.000379743,0.000379743
80,1065.35,0.56368,0.38707,1.01251,0.94701,0.83411,0.93773,0.73444,0.711,0.53214,1.17196,0.000363239,0.000363239,0.000363239
81,1078.04,0.54851,0.38175,1.00593,0.92692,0.86754,0.92229,0.74315,0.67905,0.48206,1.12153,0.000346736,0.000346736,0.000346736
82,1090.72,0.53365,0.37664,0.99193,0.90673,0.87552,0.93727,0.75209,0.67488,0.48597,1.12632,0.000330233,0.000330233,0.000330233
83,1102.99,0.55644,0.39857,1.01227,0.92138,0.86687,0.94028,0.74757,0.68925,0.46666,1.13386,0.000313729,0.000313729,0.000313729
84,1116.16,0.53951,0.38031,1.00314,0.93609,0.91079,0.9564,0.7755,0.66316,0.43206,1.10608,0.000297226,0.000297226,0.000297226
85,1128.85,0.54198,0.3848,0.99786,0.91017,0.88949,0.93992,0.76802,0.63071,0.48115,1.08333,0.000280723,0.000280723,0.000280723
86,1140.87,0.52612,0.37381,0.99265,0.89271,0.88295,0.93279,0.77338,0.61463,0.49951,1.06521,0.00026422,0.00026422,0.00026422
87,1154.03,0.55151,0.39356,1.00452,0.93969,0.85389,0.9418,0.76409,0.6882,0.49106,1.0985,0.000247716,0.000247716,0.000247716
88,1167.07,0.52898,0.37392,0.99523,0.96584,0.87235,0.94242,0.76938,0.68086,0.50946,1.09672,0.000231213,0.000231213,0.000231213
89,1180.09,0.52728,0.36961,0.99086,0.96595,0.85267,0.93394,0.76644,0.63903,0.51751,1.09398,0.00021471,0.00021471,0.00021471
90,1192.8,0.5092,0.36646,0.98591,0.95834,0.85631,0.93845,0.76822,0.63371,0.51296,1.08529,0.000198206,0.000198206,0.000198206
91,1232.01,0.43548,0.29894,0.93839,0.90455,0.86677,0.93924,0.77165,0.64825,0.46963,1.10073,0.000181703,0.000181703,0.000181703
92,1245.76,0.42207,0.27287,0.94149,0.90376,0.88949,0.94699,0.78653,0.67164,0.45723,1.09373,0.0001652,0.0001652,0.0001652
93,1258.75,0.40598,0.2592,0.9286,0.90522,0.90711,0.94324,0.77599,0.65044,0.46064,1.09327,0.000148696,0.000148696,0.000148696
94,1271.89,0.39221,0.25109,0.91945,0.94159,0.83744,0.94351,0.77407,0.636,0.44744,1.07454,0.000132193,0.000132193,0.000132193
95,1284.83,0.39543,0.25019,0.91857,0.95626,0.83349,0.943,0.77596,0.66153,0.46985,1.08593,0.00011569,0.00011569,0.00011569
96,1297.86,0.38505,0.24696,0.91194,0.88746,0.88274,0.94623,0.78044,0.641,0.45291,1.07354,9.91865e-05,9.91865e-05,9.91865e-05
97,1310.52,0.38085,0.24131,0.89951,0.91302,0.8798,0.94122,0.77595,0.62967,0.44951,1.07653,8.26832e-05,8.26832e-05,8.26832e-05
98,1323.38,0.37972,0.24486,0.91205,0.91631,0.87598,0.94387,0.78586,0.62391,0.45091,1.06433,6.61799e-05,6.61799e-05,6.61799e-05
99,1336.3,0.37677,0.244,0.91156,0.9329,0.87485,0.94993,0.77022,0.6451,0.44358,1.07959,4.96766e-05,4.96766e-05,4.96766e-05
100,1349.2,0.36802,0.23386,0.89918,0.9282,0.88274,0.94559,0.77332,0.6454,0.44741,1.08352,3.31733e-05,3.31733e-05,3.31733e-05
